seed;iteracao_validacao_cruzada;indices;previsoes;f1_score;acuracia_balanceada;auc
3;0;[3, 7, 9, 13, 36, 37, 38, 47, 51, 78, 89, 117, 128, 131, 150, 162, 166];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8666666666666667;0.5;0.34615384615384615
3;1;[6, 12, 14, 20, 34, 69, 82, 83, 91, 103, 126, 133, 138, 144, 158, 159, 167];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8666666666666667;0.5;0.6153846153846154
3;2;[4, 23, 33, 53, 60, 67, 70, 86, 101, 108, 112, 115, 122, 136, 137, 148, 157];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.4666666666666666
3;3;[0, 11, 32, 35, 57, 87, 95, 98, 110, 113, 116, 139, 142, 146, 149, 151, 164];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.6333333333333333
3;4;[8, 17, 22, 24, 27, 29, 44, 64, 71, 73, 80, 107, 125, 129, 143, 155, 165];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.5666666666666667
3;5;[19, 26, 55, 68, 79, 96, 97, 104, 118, 119, 123, 127, 130, 132, 153, 161, 163];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.55
3;6;[5, 10, 42, 43, 46, 52, 54, 61, 65, 72, 75, 81, 93, 94, 114, 135, 156];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.6333333333333333
3;7;[28, 39, 40, 41, 45, 48, 49, 63, 66, 74, 85, 102, 106, 134, 140, 141, 145];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.6833333333333333
3;8;[1, 2, 18, 21, 30, 50, 58, 76, 77, 84, 92, 100, 109, 121, 124, 152, 168];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.7833333333333333
3;9;[15, 16, 25, 31, 56, 59, 62, 88, 90, 99, 105, 111, 120, 147, 154, 160];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8571428571428571;0.5;0.6458333333333333
5;0;[13, 23, 33, 50, 64, 91, 95, 98, 105, 111, 113, 115, 120, 121, 124, 145, 158];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8666666666666667;0.5;0.8269230769230769
5;1;[5, 27, 28, 43, 56, 57, 66, 78, 79, 84, 88, 102, 125, 140, 142, 162, 164];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8666666666666667;0.5;0.2692307692307692
5;2;[12, 17, 26, 52, 58, 59, 68, 80, 83, 85, 94, 107, 110, 136, 147, 150, 153];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.4
5;3;[6, 10, 16, 22, 32, 35, 39, 41, 49, 54, 55, 103, 123, 126, 131, 135, 148];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.5
5;4;[0, 1, 15, 29, 36, 44, 47, 76, 92, 101, 109, 114, 141, 143, 155, 161, 165];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.4666666666666666
5;5;[2, 18, 19, 21, 31, 46, 61, 70, 73, 86, 89, 104, 106, 119, 132, 151, 159];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.44999999999999996
5;6;[8, 9, 20, 30, 53, 69, 75, 118, 127, 129, 133, 134, 144, 146, 149, 154, 167];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.9
5;7;[3, 7, 25, 34, 45, 60, 62, 65, 71, 72, 87, 93, 96, 97, 100, 128, 160];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.5833333333333333
5;8;[14, 24, 48, 67, 74, 77, 81, 82, 99, 108, 130, 138, 152, 156, 157, 163, 168];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8275862068965517;0.5;0.6666666666666667
